Class,Reason,type_name,
Q187916,Too specific,horse racing,
Q60442637,Not event,rapid transit train service,
Q178512,Not event,public transport,
Q4393809,Not event,referendums in Switzerland,
Q126793,Not event,retail,
Q2352121,Not event,sectarianism,
Q2133344,Too specific,space mission,
Q5916,Too specific,spaceflight,
Q17496410,Too specific,United Kingdom local elections,
Q294362,Too specific,urban and regional transportation,
Q19902850,Not event,witch trial,
Q190122,Not event,promissory note,
Q831772,Not event,foreign currrency,
Q860641,Not event,gold coin,
Q188447,Not event,electrical cable,
Q628191,Too generic,industrial action,
Q14006248,Too specific,elections in France,
Q279283,Too specific,election in the United States,
Q3214425,Too specific,thoroughbred horse racing,
Q11486634,Not event,country origin myth,
Q1376777,Too specific,election in Japan,
Q3586483,Too specific,municipal elections in France,
Q107394355,Too specific,state elections,
Q51404,Too specific,pride parade,
Q56316064,Too specific,elections in the autonomous communities of Spain,
Q51404,Too specific,pride parade,
Q3586483,Too specific,municipal elections in France,
Q159535,Not event,conspiracy theory,
Q98374631,Not event,transport by country or region,
Q902378,Not event,equestrian sport,
Q1435575,Not event,transport,cell division
Q2072431,Not event,passenger transport,
